# AiPinyin 词典 — 自动生成，请勿手动编辑
# 格式: 拼音,汉字,权重
# 共 47622 条
haoshiduoqian,好事多悭,60
haoshiduomo,好事多磨,60
haoshitianqian,好事天悭,60
haoshizhe,好事者,60
haoxie,好些,100
haoren,好人,100
haorenzhuyi,好人主义,60
haorenjia,好人家,60
haosi,好似,100
haoyiwulao,好佚恶劳,60
haoxiang,好像,100
haoer,好儿,100
haozhaotou,好兆头,60
haoban,好办,100
haodong,好动,100
haoyongdouhen,好勇斗狠,60
haoshou,好受,100
haogu,好古,100
haochi,好吃,100
haochihaohe,好吃好喝,60
haochilanzuo,好吃懒做,60
haoba,好吧,100
haoting,好听,100
haochuiniu,好吹牛,60
haoshanleshi,好善乐施,60
haoshanjie,好善嫉恶,60
haoshanwue,好善恶恶,60
haozai,好在,100
haoshenghaoqi,好声好气,60
haochu,好处,100
haochufei,好处费,60
haoduo,好多,100
haodaxigong,好大喜功,60
haotianer,好天儿,60
haotianliangye,好天良夜,60
haotou,好头,100
haoqi,好奇,100
haoqishangyi,好奇尚异,60
haoqixin,好奇心,60
haonvbuchuanjiashiyi,好女不穿嫁时衣,30
haohao,好好,100
haohaoer,好好儿,60
haohaoxiansheng,好好先生,60
haohaoxuexi,好好学习,60
haoxue,好学,100
haoxuebujuan,好学不倦,60
haoke,好客,100
haojiahuo,好家伙,60
haorongyi,好容易,60
haoshang,好尚,100
haoqiang,好强,100
haodehen,好得很,60
haoxin,好心,100
haoxinzuolelvganfei,好心做了驴肝肺,30
haoxinhaoyi,好心好意,60
haowu,好恶,100
haoebutong,好恶不同,60
haore,好惹,100
haoyi,好意,100
haoyisi,好意思,60
haogan,好感,100
haodong,好懂,100
haoxi,好戏,100
haozhan,好战,100
haozhanfenzi,好战分子,60
haodaigaomao,好戴高帽,60
haoshou,好手,100
haozhao,好找,100
haozhengyixia,好整以暇,60
haodou,好斗,100
haorizi,好日子,60
haojing,好景,100
haojingbuchang,好景不常,60
haojingbuchang,好景不长,60
haowangjiao,好望角,60
haolaihaoqu,好来好去,60
haojile,好极了,60
haoyangerde,好样儿的,60
haomengbuchang,好梦不长,60
haomengnanyuan,好梦难圆,60
haomengnancheng,好梦难成,60
haomohaoyang,好模好样,60
haodai,好歹,100
haobi,好比,100
haoqi,好气,100
haohan,好汉,100
haohanbuchiyanqiankui,好汉不吃眼前亏,30
haoxiaoxi,好消息,60
haowan,好玩,100
haowaner,好玩儿,60
haosheng,好生,100
haoshengzhide,好生之德,60
haokan,好看,100
haolihaosan,好离好散,60
haoduanduan,好端端,60
haoxiao,好笑,100
haoguanxianshi,好管闲事,60
haolei,好累,100
haorouwanchuang,好肉剜疮,60
haosheng,好胜,100
haolian,好脸,100
haoziweizhi,好自为之,60
haose,好色,100
haosezhitu,好色之徒,60
haolaiwu,好莱坞,60
haoxingxiaohui,好行小惠,60
haoxingxiaohui,好行小慧,60
haoyan,好言,100
haoyanhaoyu,好言好语,60
haoping,好评,100
haohua,好话,100
haoyusizhu,好语似珠,60
haoyuruzhu,好语如珠,60
haoshuo,好说,100
haoshuodaishuo,好说歹说,60
haoshuohua,好说话,60
haodushu,好读书,60
haomoushanduan,好谋善断,60
haoxiang,好象,100
haolai,好赖,100
haozou,好走,100
haoshenshou,好身手,60
haozhuan,好转,100
haobian,好辩,100
haoguo,好过,100
haoyun,好运,100
haoyiwulao,好逸恶劳,60
haojiu,好酒,100
haojiutanbei,好酒贪杯,60
haowen,好问,100
haowenjueyi,好问决疑,60
haowenzeyu,好问则裕,60
haowen,好闻,100
haoqizheduo,好骑者堕,60
haogaowuyuan,好高务远,60
haogaowuyuan,好高骛远,60
haogaowuyuan,好高鹜远,60
rushang,如上,100
rubushengyi,如不胜衣,60
rusangkaobi,如丧考妣,60
rulindadi,如临大敌,60
ruzhinaihe,如之奈何,60
ruhe,如何,100
ruxiongrudi,如兄如弟,60
ruqi,如其,100
ruqierucuo,如切如磋,60
ruqiansuoshu,如前所述,60
rutong,如同,100
ruzuochunfeng,如坐春风,60
ruduowuliwuzhong,如堕五里雾中,30
ruduoyanhai,如堕烟海,60
ruduoyanwu,如堕烟雾,60
rulvpingdi,如履平地,60
rulvbobing,如履薄冰,60
rushanyaluan,如山压卵,60
ruyingsixiang,如应斯响,60
rudi,如弟,100
rushidijie,如拾地芥,60
ruchizuoquan,如持左券,60
ruzhenluoye,如振落叶,60
rucaozuoquan,如操左券,60
rushu,如数,100
rushujiazhen,如数家珍,60
ruwuqishi,如无其事,60
rurizhongtian,如日中天,60
rurifangzhong,如日方中,60
ruyousuoshi,如有所失,60
ruqi,如期,100
rulaifo,如来佛,60
rumengchujue,如梦初觉,60
rucishuolai,如此说来,60
rucizheban,如此这般,60
rushuitoushi,如水投石,60
rutangwoxue,如汤沃雪,60
rutangpoxue,如汤泼雪,60
rutangjiaoxue,如汤浇雪,60
rutangguanxue,如汤灌雪,60
rufapaozhi,如法泡制,60
rufapaozhi,如法炮制,60
ruqicaojie,如泣草芥,60
ruhuoliaoyuan,如火燎原,60
runiufuzhong,如牛负重,60
rulangsihu,如狼似虎,60
rulangmuyang,如狼牧羊,60
ruchisizui,如痴似醉,60
rudengchuntai,如登春台,60
rushitoushui,如石投水,60
ruyue,如约,100
rujiaosiqi,如胶似漆,60
rubishizhi,如臂使指,60
rumangcibei,如芒刺背,60
rumangzaibei,如芒在背,60
ruhuasiyue,如花似月,60
ruhuasiduo,如花似朵,60
ruhuasiyu,如花似玉,60
ruhuasijin,如花似锦,60
ruruo,如若,100
ruhudeyi,如虎得翼,60
ruyimushan,如蚁慕膻,60
ruyifushan,如蚁附膻,60
ruyingzhuchou,如蝇逐臭,60
rujianfeigan,如见肺肝,60
rujiedaoxuan,如解倒悬,60
ruxu,如许,100
rudaotanghuo,如蹈汤火,60
rushizhongfu,如释重负,60
ruzhuihuasha,如锥画沙,60
rufengguoer,如风过耳,60
rujisike,如饥似渴,60
ruyintihu,如饮醍醐,60
ruyusishui,如鱼似水,60
ruyudeshui,如鱼得水,60
runiaoshousan,如鸟兽散,60
rulongsihu,如龙似虎,60
feipin,妃嫔,100
feizi,妃子,100
wangwei,妄为,100
wangjia,妄加,100
wangcheng,妄称,100
wangzizunda,妄自尊大,60
wangzifeibo,妄自菲薄,60
wangyu,妄语,100
wangshuo,妄说,100
zhuangmozuoyang,妆模作样,60
zhuanglongzuoya,妆聋做哑,60
fuchan,妇产,100
funv,妇女,100
funvbing,妇女病,60
funvjie,妇女节,60
funvyundong,妇女运动,60
fuguboxi,妇姑勃溪,60
fuguboxi,妇姑勃谿,60
fuying,妇婴,100
furujiezhi,妇孺皆知,60
fudi,妇弟,100
fudaorenjia,妇道人家,60
yanli,妍丽,100
yanchihaoe,妍蚩好恶,60
dunenghaixian,妒能害贤,60
duxianjineng,妒贤嫉能,60
duxianjineng,妒贤疾能,60
jinv,妓女,100
yaobushengde,妖不胜德,60
yaonv,妖女,100
yaorao,妖娆,100
yaoshu,妖术,100
yaoyourenxing,妖由人兴,60
yaofeng,妖风,100
jinzi,妗子,100
miaobukeyan,妙不可言,60
miaoju,妙句,100
miaochu,妙处,100
miaochubuchuan,妙处不传,60
miaoshououde,妙手偶得,60
miaoshoukongkong,妙手空空,60
miaozhao,妙着,100
miaoyanyaodao,妙言要道,60
miaolun,妙论,100
miaoyu,妙语,100
miaoyujingren,妙语惊人,60
miaoyujiefan,妙语解烦,60
miaoyujieyi,妙语解颐,60
miaoyulianzhu,妙语连珠,60
miaoqu,妙趣,100
miaoquhengsheng,妙趣横生,60
miaolingnvzi,妙龄女子,60
niuer,妞儿,100
niuzi,妞子,100
tuotie,妥帖,100
tuodang,妥当,100
tuoshoutieer,妥首帖耳,60
fangshi,妨事,100
fanggonghaineng,妨功害能,60
zhouli,妯娌,100
meifu,妹夫,100
qier,妻儿,100
qierlaoxiao,妻儿老小,60
qierlaoshao,妻儿老少,60
qizi,妻子,100
qinu,妻孥,100
qishi,妻室,100
qixiao,妻小,100
qidi,妻弟,100
qimeizihe,妻梅子鹤,60
qilizisan,妻离子散,60
qijiu,妻舅,100
qirongfugui,妻荣夫贵,60
zifu,姊夫,100
shichuang,始创,100
shifazhan,始发站,60
shiyuanbujici,始愿不及此,30
shizhongbuxie,始终不懈,60
shizhongbuyi,始终不易,60
shizhongbuyu,始终不渝,60
shizhongruoyi,始终若一,60
jiefu,姐夫,100
guqie,姑且,100
gufu,姑夫,100
guniangjia,姑娘家,60
guyeshenren,姑射神人,60
guxi,姑洗,100
gufu,姑父,100
guzhiwulun,姑置勿论,60
gusu,姑苏,100
xingqiu,姓仇,100
xingren,姓任,100
xingguan,姓冠,100
xinggan,姓干,100
xingshi,姓氏,100
xingxie,姓解,100
weiyi,委以,100
weiren,委任,100
weirenzhuang,委任状,60
weijuebuxia,委决不下,60
weiyuan,委员,100
weiyuanhui,委员会,60
weipei,委培,100
weiweituotuo,委委佗佗,60
weiwan,委婉,100
weishi,委实,100
weiqu,委屈,100
weituo,委托,100
weituoshu,委托书,60
weiqu,委曲,100
weiquchengquan,委曲成全,60
weiquqiuquan,委曲求全,60
weipai,委派,100
weisuo,委琐,100
weizui,委罪,100
weizuiyuren,委罪于人,60
weirouhuxi,委肉虎蹊,60
weiyi,委蛇,100
weishen,委身,100
weiguoyuren,委过于人,60
weizhongtoujian,委重投艰,60
weimi,委靡,100
weimibuzhen,委靡不振,60
weidun,委顿,100
shanshan,姗姗,100
shanshanlaichi,姗姗来迟,60
pinfu,姘夫,100
pintou,姘头,100
jiangtang,姜汤,100
jiaoli,姣丽,100
jiaohao,姣好,100
jiaomei,姣美,100
laolao,姥姥,100
yifu,姨夫,100
yilaolao,姨姥姥,60
yifu,姨父,100
kuarongxiutai,姱容修态,60
chaziyanhong,姹紫嫣红,60
yinqin,姻亲,100
ziyiwangwei,姿意妄为,60
weixin,威信,100
weixinsaodi,威信扫地,60
weihe,威吓,100
weiwangsuzhu,威望素著,60
weiwubuqu,威武不屈,60
weixiexing,威胁性,60
weipo,威迫,100
weipoliyou,威迫利诱,60
weizhonglingxing,威重令行,60
weifeng,威风,100
weifengbamian,威风八面,60
weifenglinlin,威风凛凛,60
weifengsaodi,威风扫地,60
weifengxianglin,威风祥麟,60
wawaqin,娃娃亲,60
jiaohao,娇好,100
jiaoqi,娇妻,100
jiaorao,娇娆,100
jiaozong,娇纵,100
pingtingenuo,娉婷婀娜,60
pingtingniaonuo,娉婷袅娜,60
weiweibujuan,娓娓不倦,60
niangqin,娘亲,100
niangmener,娘们儿,60
niangzi,娘子,100
niangjia,娘家,100
juanhaojingxiu,娟好静秀,60
yule,娱乐,100
yuleting,娱乐厅,60
yulequan,娱乐圈,60
yulechang,娱乐场,60
yulecheng,娱乐城,60
yulepindao,娱乐频道,60
yuqinongzi,娱妻弄子,60
quxifuer,娶媳妇儿,60
enuo,婀娜,100
enuoduozi,婀娜多姿,60
popo,婆婆,100
popomama,婆婆妈妈,60
wanquan,婉劝,100
wanxie,婉谢,100
biaozi,婊子,100
hunsang,婚丧,100
hunsangxiqing,婚丧喜庆,60
hunsu,婚俗,100
hunjia,婚假,100
hunwaiyun,婚外孕,60
hunjian,婚检,100
hunyu,婚育,100
hunling,婚龄,100
bizuofuren,婢作夫人,60
binv,婢女,100
chanyuan,婵媛,100
shener,婶儿,100
meiti,媒体,100
meihe,媒合,100
meigu,媚骨,100
xifuer,媳妇儿,60
gouhe,媾合,100
gouhe,媾和,100
saofuren,嫂夫人,60
saozi,嫂子,100
saonishuyuan,嫂溺叔援,60
jieruchou,嫉恶如仇,60
jieruochou,嫉恶若仇,60
jixianduneng,嫉贤妒能,60
jixianduneng,嫉闲妒能,60
xianhaodaoe,嫌好道恶,60
xianhaodaoqian,嫌好道歉,60
xianhaodaodai,嫌好道歹,60
xianwu,嫌恶,100
xianfan,嫌烦,100
xianyi,嫌疑,100
xianyifan,嫌疑犯,60
xianchangdaoduan,嫌长道短,60
pinfei,嫔妃,100
piaoji,嫖妓,100
piaochang,嫖娼,100
piaoke,嫖客,100
piaosu,嫖宿,100
manzi,嫚子,100
libuxuwei,嫠不恤纬,60
diqin,嫡亲,100
dichuan,嫡传,100
dizi,嫡子,100
disun,嫡孙,100
dixi,嫡系,100
dizhangzi,嫡长子,60
yanranyixiao,嫣然一笑,60
yanhong,嫣红,100
yanhongchazi,嫣红姹紫,60
nenruo,嫩弱,100
nenzhi,嫩枝,100
nenhua,嫩滑,100
nenbai,嫩白,100
nenhong,嫩红,100
nenlv,嫩绿,100
xixi,嬉戏,100
yingjianmaiqiao,嬴奸买俏,60
shuangqiruozi,孀妻弱子,60
ziweifuyin,子为父隐,60
ziju,子句,100
ziye,子叶,100
zinang,子囊,100
zinv,子女,100
zinvyubo,子女玉帛,60
zizisunsun,子子孙孙,60
zisun,子孙,100
zisunhoudai,子孙后代,60
zixiaofuci,子孝父慈,60
zidi,子弟,100
zidibing,子弟兵,60
zidan,子弹,100
zimudan,子母弹,60
zichu,子畜,100
zixuwuyou,子虚乌有,60
kongxibunuan,孔席不暖,60
kongxibushi,孔席不适,60
kongsizhouqing,孔思周情,60
kongqingzhousi,孔情周思,60
kongjiao,孔教,100
kongwuyouli,孔武有力,60
kongque,孔雀,100
kongqueshi,孔雀石,60
kongquelv,孔雀绿,60
kongquewu,孔雀舞,60
kongquelan,孔雀蓝,60
yuntu,孕吐,100
yunqi,孕期,100
ziti,字体,100
ziju,字句,100
zihao,字号,100
zitie,字帖,100
zitieer,字帖儿,60
ziku,字库,100
ziju,字据,100
zishu,字数,100
zizhenjuzhuo,字斟句酌,60
zitiao,字条,100
zimu,字模,100
zizhengqiangyuan,字正腔圆,60
ziyaner,字眼儿,60
zijie,字节,100
zidiao,字调,100
zilihangjian,字里行间,60
zishunwencong,字顺文从,60
cunshi,存世,100
cunwang,存亡,100
cunwanganwei,存亡安危,60
cunwangweibu,存亡未卜,60
cunwangjuexu,存亡绝续,60
cunwangjijue,存亡继绝,60
cunwangxujue,存亡续绝,60
cunchu,存储,100
cundan,存单,100
cundi,存底,100
cunxinbuliang,存心不良,60
cunzhe,存折,100
cunqi,存期,100
cuncha,存查,100
cunkuandan,存款单,60
cunyi,存疑,100
cunerbulun,存而不论,60
cunche,存车,100
cunchechu,存车处,60
cunshi,存食,100
suner,孙儿,100
sunwu,孙吴,100
sunnv,孙女,100
sunnvxu,孙女婿,60
sunxifu,孙媳妇,60
sunzi,孙子,100
sunpangdouzhi,孙庞斗智,60
sunkangyingxue,孙康映雪,60
fuyinpangda,孚尹旁达,60
zizibujuan,孜孜不倦,60
zizibudai,孜孜不怠,60
zizibuxie,孜孜不懈,60
zizibuchuo,孜孜不辍,60
xiaonv,孝女,100
xiaozicisun,孝子慈孙,60
xiaozixiansun,孝子贤孙,60
xiaozishunsun,孝子顺孙,60
xiaodi,孝弟,100
xiaosibukui,孝思不匮,60
xiaotizhongxin,孝悌忠信,60
xiaofu,孝服,100
xiaoxing,孝行,100
mengshiweike,孟什维克,60
mengjialaguo,孟加拉国,60
baozi,孢子,100
jiyouboxiong,季友伯兄,60
jisunzhiyou,季孙之忧,60
jimengzhijian,季孟之间,60
jidu,季度,100
jifu,季父,100
jijie,季节,100
jijiegong,季节工,60
jifeng,季风,100
jifengqihou,季风气候,60
guaobuqun,孤傲不群,60
guerguamu,孤儿寡母,60
gudan,孤单,100
gudanyiren,孤单一人,60
gunv,孤女,100
gujiaguaren,孤家寡人,60
gulvweixing,孤履危行,60
gufeng,孤峰,100
guzhangnanming,孤掌难鸣,60
guwenzhiyi,孤文只义,60
guwenduanju,孤文断句,60
guzhuyizhi,孤注一掷,60
guduguangua,孤独矜寡,60
guliguayu,孤立寡与,60
guliwuzhu,孤立无助,60
gukulingding,孤苦零丁,60
guxing,孤行,100
guxingyiyi,孤行一意,60
guxingjiyi,孤行己意,60
guxingjijian,孤行己见,60
gushenzhiying,孤身只影,60
gucishengzhi,孤雌生殖,60
xuexiji,学习机,60
xuexiban,学习班,60
xuehui,学会,100
xuefen,学分,100
xuefenzhi,学分制,60
xueqianjiaoyu,学前教育,60
xuequ,学区,100
xueyuan,学员,100
xuehao,学好,100
xuerubuji,学如不及,60
xuerudengshan,学如登山,60
xuezi,学子,100
xuefuwuche,学富五车,60
xuecheng,学成,100
xueyouzhuanchang,学有专长,60
xueqi,学期,100
xueshu,学术,100
xueshuxing,学术性,60
xueshujie,学术界,60
xuezafei,学杂费,60
xuexiao,学校,100
xuegun,学棍,100
xueqiancaishu,学浅才疏,60
xueshucaiqian,学疏才浅,60
xuejian,学监,100
xueshe,学社,100
xuejiuqi,学究气,60
xuexi,学系,100
xueerbuyan,学而不厌,60
xueshi,学识,100
xueshiyuanbo,学识渊博,60
xueshuo,学说,100
xueguanzhongxi,学贯中西,60
xuezhang,学长,100
xuefeng,学风,100
haizi,孩子,100
haizitou,孩子头,60
haizitouer,孩子头儿,60
haiziqi,孩子气,60
haiziwang,孩子王,60
haiti,孩提,100
naozhong,孬种,100
chanruo,孱弱,100
zizibujuan,孳孳不倦,60
zimannantu,孳蔓难图,60
fuhua,孵化,100
ruzikejiao,孺子可教,60
niezhong,孽种,100
niezhangzhongzi,孽障种子,60
ningweiyusui,宁为玉碎,60
ningnan,宁南,100
ningke,宁可,100
ningan,宁安,100
ningtie,宁帖,100
ningyuan,宁愿,100
ningzhebuwan,宁折不弯,60
ningri,宁日,100
ningquwuzhe,宁曲勿折,60
ningsibuqu,宁死不屈,60
ningsiburu,宁死不辱,60
ningquewulan,宁缺勿滥,60
ningquewulan,宁缺毋滥,60
ningken,宁肯,100
ningmi,宁谧,100
ningjing,宁靖,100
ningjing,宁静,100
ningxiner,宁馨儿,60
tashanzhishi,它山之石,60
zhaizhongtuda,宅中图大,60
zhaidi,宅地,100
zhaijidi,宅基地,60
zhaidi,宅邸,100
yunei,宇内,100
yuzhoukongjian,宇宙空间,60
yuzhouguan,宇宙观,60
yuzhousudu,宇宙速度,60
yuhangyuan,宇航员,60
shousang,守丧,100
shouxin,守信,100
shouxiandaihou,守先待后,60
shoufen,守分,100
shoufenanchang,守分安常,60
shoutuyouze,守土有责,60
shoumu,守墓,100
shoujiang,守将,100
shoutanzi,守摊子,60
shoulei,守擂,100
shouwangxiangzhu,守望相助,60
shoubenfen,守本分,60
shouzhudaitu,守株待兔,60
shouzhengbuhui,守正不回,60
shouzhengbunao,守正不挠,60
shouzhengburao,守正不桡,60
shouzhengbue,守正不阿,60
shouyue,守约,100
shouyueshibo,守约施搏,60
shoujie,守节,100
shoujiebuyi,守节不移,60
shouche,守车,100
shoumenyuan,守门员,60
shouquebaocan,守阙抱残,60
anshang,安上,100
anbuwangwei,安不忘危,60
anzhiruoming,安之若命,60
anzhiruosu,安之若素,60
anle,安乐,100
anleyi,安乐椅,60
anlesi,安乐死,60
anlewo,安乐窝,60
anyupanshi,安于盘石,60
anfenshouji,安份守己,60
anquanlishihui,安全理事会,30
anquandianya,安全电压,60
anquanxishu,安全系数,60
anneirangwai,安内攘外,60
anfen,安分,100
anfenshouji,安分守己,60
anfenzhizu,安分知足,60
anweiyugong,安危与共,60
anweixiangyi,安危相易,60
angela,安哥拉,60
anguoningjia,安国宁家,60
antuleye,安土乐业,60
antuzhongju,安土重居,60
antuzhongjiu,安土重旧,60
antuzhongqian,安土重迁,60
anguiladao,安圭拉岛,60
anzuodaibi,安坐待毙,60
anduleye,安堵乐业,60
anhao,安好,100
anrupanshi,安如磐石,60
anning,安宁,100
anzhaizhenglu,安宅正路,60
andingtuanjie,安定团结,60
anshilichu,安室利处,60
anjia,安家,100
anjialeye,安家乐业,60
anjialiye,安家立业,60
anjialuohu,安家落户,60
anjiafei,安家费,60
anjuleye,安居乐业,60
anchangchushun,安常处顺,60
anchangshoufen,安常守分,60
andu,安度,100
anhuisheng,安徽省,60
anxinleye,安心乐业,60
anxinleyi,安心乐意,60
anxinluoyi,安心落意,60
anrenwuqin,安忍无亲,60
anda,安打,100
anla,安拉,100
anpai,安排,100
anguzhongqian,安故重迁,60
anshichushun,安时处顺,60
anbudangche,安步当车,60
anlihui,安理会,60
anshengleye,安生乐业,60
anshengfuye,安生服业,60
anlaohuaishao,安老怀少,60
anliangchubao,安良除暴,60
anruotaishan,安若泰山,60
anyingzhazhai,安营扎寨,60
anxiang,安详,100
anpinlejian,安贫乐贱,60
anpinledao,安贫乐道,60
anshenweile,安身为乐,60
anshenzhidi,安身之地,60
anshenzhichu,安身之处,60
anshenleye,安身乐业,60
anchepulun,安车蒲轮,60
anxianzide,安闲自得,60
anhunqu,安魂曲,60
songtizi,宋体字,60
songjinluxue,宋斤鲁削,60
songchao,宋朝,100
wanle,完了,100
wanshidaji,完事大吉,60
wanmingquanjie,完名全节,60
wanhao,完好,100
wanhaowuque,完好无缺,60
wanjie,完结,100
wansheng,完胜,100
wanbai,完败,100
hongli,宏丽,100
hongtudazhi,宏图大志,60
hongda,宏大,100
hongcaidalüe,宏才大略,60
hongcaidalüe,宏材大略,60
hongguan,宏观,100
hongguanshijie,宏观世界,60
hongguanjingji,宏观经济,60
hongguanjingjixue,宏观经济学,30
honglun,宏论,100
hongyuan,宏远,100
hongliang,宏量,100
zongqin,宗亲,100
zongyang,宗仰,100
zongjiao,宗教,100
zongjiaojie,宗教界,60
guanle,官了,100
guanjia,官价,100
guandao,官倒,100
guanyuan,官员,100
guandi,官地,100
guanchang,官场,100
guanchangruxi,官场如戏,60
guanchangxianxingji,官场现形记,30
guanguanxiangwei,官官相为,60
guanguanxiangwei,官官相卫,60
guanguanxianghu,官官相护,60
guanjia,官家,100
guanchai,官差,100
guanqingzhibao,官情纸薄,60
guanbaosichou,官报私仇,60
guanfu,官服,100
guanbenwei,官本位,60
guanxiao,官校,100
guanzhishenxing,官止神行,60
guancheng,官称,100
guanneng,官能,100
guannengtuan,官能团,60
guannengzheng,官能症,60
guanyunhengtong,官运亨通,60
guanzhang,官长,100
guanfeng,官风,100
dingluanfushuai,定乱扶衰,60
dingchan,定产,100
dingqin,定亲,100
dingjia,定价,100
dingguanci,定冠词,60
dingdan,定单,100
dingmingwei,定名为,60
dingxiangsheng,定向生,60
dingyuan,定员,100
dingchangbai,定场白,60
dingchangshi,定场诗,60
dingdang,定当,100
dingxingfenxi,定性分析,60
dingshu,定数,100
dingshizhadan,定时炸弹,60
dingqi,定期,100
dinghualun,定滑轮,60
dingjian,定见,100
dinglun,定论,100
dingyu,定语,100
dingshuo,定说,100
dingdiao,定调,100
dingdiaozi,定调子,60
dinghuodan,定货单,60
dingyuan,定远,100
dingdu,定都,100
dingliang,定量,100
dingliangfenxi,定量分析,60
dingxiang,定项,100
wansi,宛似,100
wanru,宛如,100
wanran,宛然,100
wanruo,宛若,100
wanzhuan,宛转,100
wanzhuanyouyang,宛转悠扬,60
wanzhuanemei,宛转蛾眉,60
yishiyijia,宜室宜家,60
yijiayishi,宜家宜室,60
baodaobulao,宝刀不老,60
baocha,宝刹,100
baohao,宝号,100
baodi,宝地,100
baodi,宝坻,100
baoshankonghui,宝山空回,60
baoying,宝应,100
baogaier,宝盖儿,60
baogaitou,宝盖头,60
baoshi,宝石,100
baozang,宝藏,100
baobeigeda,宝贝疙瘩,60
baomaxiangche,宝马香车,60
shiyuyouli,实与有力,60
shiyejia,实业家,60
shijia,实价,100
shiti,实体,100
shitici,实体词,60
shibichuci,实偪处此,60
shidi,实地,100
shichu,实处,100
shigan,实干,100
shidan,实弹,100
shidashi,实打实,60
shiju,实据,100
shishu,实数,100
shijing,实景,100
shiyou,实有,100
shiwudizu,实物地租,60
shixiang,实相,100
shifanyoutu,实繁有徒,60
shiluo,实落,100
shifanyoutu,实蕃有徒,60
shixing,实行,100
shiyanxianggao,实言相告,60
shihuashishuo,实话实说,60
shishuo,实说,100
shibichuci,实逼处此,60
chongxin,宠信,100
chongrubujing,宠辱不惊,60
chongruruojing,宠辱若惊,60
shenjidushi,审几度势,60
shenpanyuan,审判员,60
shenpanzhang,审判长,60
shenchu,审处,100
shenjiduoren,审己度人,60
shengan,审干,100
shenduo,审度,100
shenshiduoshi,审时度势,60
shenqumianshi,审曲面势,60
shenqumianshi,审曲面埶,60
shencha,审查,100
shenjiao,审校,100
shenhe,审核,100
shenkan,审看,100
shengao,审稿,100
shenjie,审结,100
shenmeiguan,审美观,60
shenjishi,审计师,60
shenping,审评,100
shendu,审读,100
shenti,审题,100
keti,客体,100
kejia,客家,100
kejiafangyan,客家方言,60
kejiahua,客家话,60
kezuojiaoshou,客座教授,60
kepiao,客票,100
keguan,客观,100
keguanshang,客观上,60
keguanweixinzhuyi,客观唯心主义,30
keche,客车,100
keyunduan,客运段,60
keyunzhan,客运站,60
kelikong,客里空,60
xuanchuan,宣传,100
xuanchuanpin,宣传品,60
xuanchuandan,宣传弹,60
xuanchuanhua,宣传画,60
xuanchuandui,宣传队,60
xuanhua,宣化,100
xuanhuachengliu,宣化承流,60
xuanzhao,宣召,100
xuanjiao,宣教,100
xuanxie,宣泄,100
xuancheng,宣称,100
xuanyanshu,宣言书,60
xuandu,宣读,100
shinei,室内,100
shinv,室女,100
shiruxianqing,室如县罄,60
shierrenyuan,室迩人远,60
huanhaifengbo,宦海风波,60
gongnv,宫女,100
gongshan,宫扇,100
gongye,宫掖,100
gongjin,宫禁,100
gongdiao,宫调,100
gongcheyanjia,宫车晏驾,60
gongyan,宫阉,100
gongque,宫阙,100
gongjing,宫颈,100
zaishengjie,宰牲节,60
zaixiang,宰相,100
zaixiangdulihaochengchuan,宰相肚里好撑船,30
zaijijiaohou,宰鸡教猴,60
hairenbuqian,害人不浅,60
haichu,害处,100
haisao,害臊,100
yanle,宴乐,100
yanhui,宴会,100
yanandandu,宴安酖毒,60
yananjiudu,宴安鸠毒,60
yananzhendu,宴安鸩毒,60
xiaogan,宵旰,100
xiaogantuzhi,宵旰图治,60
xiaoganyoulao,宵旰忧劳,60
xiaoganyouqin,宵旰忧勤,60
xiaoganjiaolao,宵旰焦劳,60
xiaojin,宵禁,100
xiaoyiganshi,宵衣旰食,60
xiaoyuchuihua,宵鱼垂化,60
jiading,家丁,100
jiachou,家丑,100
jiachoubukewaiyang,家丑不可外扬,30
jiachoubukewaitan,家丑不可外谈,30
jiashi,家世,100
jiaye,家业,100
jiayan,家严,100
jiaxiang,家乡,100
jiashu,家书,100
jiashudiwanjin,家书抵万金,30
jiashi,家事,100
jiawangguopo,家亡国破,60
jiachan,家产,100
jiaren,家人,100
jiashi,家什,100
jiapu,家仆,100
jiachou,家仇,100
jiahuo,家伙,100
jiachuan,家传,100
jiachuanrensong,家传人诵,60
jiachuanhusong,家传户诵,60
jiachuanhusong,家传户颂,60
jiaxin,家信,100
jiaju,家俱,100
jiaxiong,家兄,100
jiatu,家兔,100
jiaju,家具,100
jiayang,家养,100
jiawu,家务,100
jiawushi,家务事,60
jiawuhuo,家务活,60
jiafanzhailuan,家反宅乱,60
jiakou,家口,100
jiashi,家史,100
jiayuhuxi,家喻户习,60
jiayuhuxiao,家喻户晓,60
jiayuan,家园,100
jiashu,家塾,100
jiajing,家境,100
jiadayeda,家大业大,60
jiatianxia,家天下,60
jianu,家奴,100
jiazi,家姊,100
jiagu,家姑,100
jiaxue,家学,100
jiaxueyuanyuan,家学渊源,60
jiazhai,家宅,100
jiashi,家室,100
jiayan,家宴,100
jiajia,家家,100
jiajiahuhu,家家户户,60
jiajiayoubennanniandejing,家家有本难念的经,30
jiajiang,家将,100
jiaxiao,家小,100
jiaju,家居,100
jiashu,家属,100
jiachang,家常,100
jiachangbianfan,家常便饭,60
jiachangchafan,家常茶饭,60
jiachanghua,家常话,60
jiachangliduan,家常里短,60
jiachangfan,家常饭,60
jiadi,家底,100
jiadier,家底儿,60
jiating,家庭,100
jiatingfuye,家庭副业,60
jiatingfunv,家庭妇女,60
